Materialnr.;Unnamed: 1;Artikelbezeichnung;Artikelbezeichnung 2;"Waren
gruppe";" Artkel 
VK 01.01.19 ";" Material/
100mm
01.01.2019 "; Schnitt ; Preiseinheit ;Max. Zuschnitt; Sonder Rabatte 
281804060;0.0.607.26;Aluminiumprofil 80x40L 1N, Nut 8;8 St. x 6000mm;010212; 1.120,00 € ;;;1.0;;
281804070;0.0.452.34;Aluminiumprofil 80x40E 4N180, Nut 8;8 St. x 6000 mm;010212; 912,50 € ;;;1.0;;
281804901;7.0.000.26;Aluminiumprofil 80x40E, Nut 8;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 2,13 € ; 2,27 € ;1.0;6000,0;
281804911;0.0.026.34;Aluminiumprofil 80x40L, Nut 8;Längenangabe notwendig, Bearbeitung auf Anfrage;010201;; 2,27 € ; 2,27 € ;1.0;6000,0;
281804911;0.0.452.40;Aluminiumprofil 80x40L, Nut 8;Längenangabe notwendig, Bearbeitung auf Anfrage;010201;; 2,27 € ; 2,27 € ;1.0;6000,0;
281804911;0.0.452.41;Aluminiumprofil 80x40L, Nut 8;Längenangabe notwendig, Bearbeitung auf Anfrage;010201;; 2,27 € ; 2,27 € ;1.0;6000,0;
281804921;0.0.026.04;Aluminiumprofil 80x40, Nut 8;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 3,52 € ; 2,27 € ;1.0;6000,0;
281804931;0.0.422.75;Aluminiumprofil 80x40L 2N, Nut 8;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 2,82 € ; 2,27 € ;1.0;6000,0;
281804941;7.0.000.20;Aluminiumprofil 80x40E 3N90, Nut 8;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 2,16 € ; 2,27 € ;1.0;6000,0;
281804951;7.0.000.23;Aluminiumprofil 80x40E 2N180, Nut 8;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 2,13 € ; 2,27 € ;1.0;6000,0;
281804961;0.0.607.75;Aluminiumprofil 80x40L 1N, Nut 8;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 2,46 € ; 2,27 € ;1.0;6000,0;
281804971;7.0.000.17;Aluminiumprofil 80x40E 4N180, Nut 8;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 2,11 € ; 2,27 € ;1.0;6000,0;
281808961;0.0.458.92;Aluminiumprofil 80x80x40L, Nut 8;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 4,19 € ; 2,27 € ;1.0;6000,0;
0.0.458.92;281808961;Aluminiumprofil 80x80x40L, Nut 8;siehe Artikelnummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
281400100;281400100;Klemmwinkel 40x40, Nut 8;16 St. x 6000 mm;010212; 332,10 € ;;;1.0;;
281808000;0.0.453.03;Aluminiumprofil 80x80L, Nut 8;4 St. x 6000mm;010211; 935,03 € ;;;1.0;;
281808020;0.0.452.35;Aluminiumprofil 80x80, Nut 8;4 St. x 6000 mm;010212; 1.280,79 € ;;;1.0;;
281808030;0.0.452.47;Aluminiumprofil 80x80L 4N90, Nut 8;4 St. x 6000 mm;010212; 1.058,90 € ;;;1.0;;
281808040;0.0.452.45;Aluminiumprofil 80x80L 2N, Nut 8;4 St. x 6000 mm;010212; 1.043,45 € ;;;1.0;;
281808050;0.0.453.01;Aluminiumprofil 80x80E, Nut 8;4 St. x 6000 mm;010212; 826,40 € ;;;1.0;;
281808060;0.0.454.02;Aluminiumprofil 80x80x40L, Nut 8;4 St. x 6000 mm;010212; 905,60 € ;;;1.0;;
201600000;0.0.451.43;Kanaldeckel 60;8 St. x 3000 mm;010212; 143,20 € ;;;1.0;;
201606000;0.0.487.37;Kabelkanal 60x60;8 St. x 3000 mm;010212; 282,00 € ;;;1.0;;
201804100;0.0.487.40;Kabelkanal 80x40;12 St. x 3000 mm;010212; 506,40 € ;;;1.0;;
251202030;0.0.448.33;Aluminiumprofil 20x20 3N, Nut 5;16 St. x 3000 mm;010212; 353,60 € ;;;1.0;;
261303060;0.0.451.67;Aluminiumprofil 30x30L 3N Nut 6;16 St. x 3000 mm;010212; 404,00 € ;;;1.0;;
281402000;0.0.616.93;Rahmenprofil 40x20, Nut 8;10 St. x 6000 mm;010212; 556,00 € ;;;1.0;;
411523598;3842523598;Profilschiene 30x45C, Nut 10;20 St. x 6000 mm;010111; 1.278,00 € ;;;1.0;;
0.0.451.43;201600000;Kanaldeckel 60;siehe Artikelummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
0.0.487.37;201606000;Kabelkanal 60x60;siehe Artikelummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
0.0.487.40;201804100;Kabelkanal 80x40;siehe Artikelummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
0.0.448.33;251202030;Aluminiumprofil 20x20 3N, Nut 5;siehe Artikelummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
0.0.451.67;261303060;Aluminiumprofil 30x30L 3N Nut 6;siehe Artikelummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
0.0.616.93;281402000;Rahmenprofil 40x20, Nut 8;siehe Artikelummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
3842523598;411523598;Profilschiene 30x45C, Nut 10;siehe Artikelnummer B-45, BR auf Anfrage;--; auf Anfrage ;;;;;
281161699;0.0.265.90;Aluminiumprofil 160x16, Nut 8;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 3,57 € ; 2,61 € ;1.0;3000,0;
201600999;7.0.002.87;Kanaldeckel 60;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 0,66 € ; 1,59 € ;1.0;3000,0;
201606999;0.0.487.36;Kabelkanal 60x60;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 1,31 € ; 1,59 € ;1.0;3000,0;
201804199;0.0.487.39;Kabelkanal 80x40;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 1,56 € ; 1,59 € ;1.0;3000,0;
7.0.002.87;201600999;Kanaldeckel 60;siehe Artikelummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
0.0.487.36;201606999;Kabelkanal 60x60;siehe Artikelummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
0.0.487.39;201804199;Kabelkanal 80x40;siehe Artikelummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
251202931;0.0.464.83;Aluminiumprofil 20x20 3N, Nut 5;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 0,82 € ; 1,59 € ;1.0;3000,0;
261303961;0.0.478.27;Aluminiumprofil 30x30 3N Nut 6;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 0,94 € ; 1,59 € ;1.0;3000,0;
0.0.464.83;251202931;Aluminiumprofil 20x20 3N, Nut 5;siehe Artikelummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
0.0.478.27;261303961;Aluminiumprofil 30x30 3N Nut 6;siehe Artikelummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
281402999;0.0.616.95;Rahmenprofil 40x20, Nut 8;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 1,03 € ; 1,82 € ;1.0;6000,0;
0.0.616.95;281402999;Rahmenprofil 40x20, Nut 8;siehe Artikelummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
411992946;3842992946;Profilschiene 30x45C, Nut 10;Längenangabe notwendig, Bearbeitung auf Anfrage;010101;; 1,18 € ; 1,59 € ;1.0;6000,0;
0.0.265.90;281161699;Aluminiumprofil 160x16, Nut 8;siehe Artikelummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
281808901;0.0.265.80;Aluminiumprofil 80x80L, Nut 8;Längenangabe notwendig, Bearbeitung auf Anfrage;010201;; 4,33 € ; 2,27 € ;1.0;6000,0;
281400109;281400109;Klemmwinkel 40x40, Nut 8;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 0,38 € ; 1,59 € ;1.0;6000,0;
281808901;0.0.453.02;Aluminiumprofil 80x80L, Nut 8;Längenangabe notwendig, Bearbeitung auf Anfrage;010201;; 4,33 € ; 2,27 € ;1.0;6000,0;
281808921;0.0.452.44;Aluminiumprofil 80x80, Nut 8;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 5,93 € ; 2,27 € ;1.0;6000,0;
281808921;0.0.026.27;Aluminiumprofil 80x80, Nut 8;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 5,93 € ; 2,27 € ;1.0;6000,0;
281808931;0.0.457.59;Aluminiumprofil 80x80L 4N90, Nut 8;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 4,90 € ; 2,27 € ;1.0;6000,0;
281808941;0.0.457.52;Aluminiumprofil 80x80L 2N, Nut 8;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 4,83 € ; 2,27 € ;1.0;6000,0;
281808951;7.0.000.29;Aluminiumprofil 80x80E, Nut 8;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 3,83 € ; 2,27 € ;1.0;6000,0;
281996200;0.0.422.77;Abdeckprofil R80 AL, Nut 8;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 0,78 € ; 1,59 € ;1.0;4150,0;
282048001;0.0.480.01;"Radiendichtung 40x40 Nut8; grau RAL7042";Material: PA;010221; 0,55 € ;;;1.0;;
282048002;0.0.494.49;"Radiendichtung 80x40 1R80 Nut8; ";"grau RAL7042; Material: PA";010221; 0,97 € ;;;1.0;;
282048003;0.0.494.46;Radiendichtung 40x40 1R Nut 8;"grau RAL7042; Material: PA";010221; 0,87 € ;;;1.0;;
282048004;0.0.480.03;Radiendichtung 40x80 2R40 Nut 8;"grau RAL7042; Material: PA";010221; 1,13 € ;;;1.0;;
282048005;0.0.480.02;Radiendichtung 40x80 2R80 Nut 8;"grau RAL7042; Material: PA";010221; 1,13 € ;;;1.0;;
282100001;282100001;"Megaverbinder ZIG Nut 8; inkl. Bef.";Material: stahl galv. verzinkt;010221; 5,15 € ;;;1.0;;
282100002;282100002;"Megaverbinder ZIG-A Nut 8; inkl. Bef.";Material: stahl galv. verzinkt;010221; 6,31 € ;;;1.0;;
282100003;282100003;"Eckverbinder EV Nut 8; inkl. Befestigung";Material: Stahl galv. verzinkt;010221; 3,71 € ;;;1.0;;
282146102;282146102;Bodenwinkel m Höhenverstellung 120 Nut8;Material: Zinkdruckguss blank;010221; 8,07 € ;;;1.0;;
282146103;282146103;Bodenwinkel m Höhenverstellung 120 Nut8;Material: Zinkdruckguss schwarz pulverb.;010221; 9,15 € ;;;1.0;;
282146104;0.0.196.45;Bodenwinkel m Höhenverstellung 160 Nut8;Material: Zinkdruckguss blank;010221; 12,06 € ;;;1.0;;
0.0.196.45;282146104;Bodenwinkel m Höhenverstellung 160 Nut8;siehe Artikelnummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
282146105;0.0.196.45;Bodenwinkel m Höhenverstellung 160 Nut8;Material: Zinkdruckguss schwarz pulverb.;010221; 12,69 € ;;;1.0;;
0.0.196.45;282146105;Bodenwinkel m Höhenverstellung 160 Nut8;siehe Artikelnummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
282146202;282146202;Bodenwinkel o Höhenverstellung 120 Nut8;Material: Zinkdruckguss blank;010221; 4,84 € ;;;1.0;;
282146203;282146203;Bodenwinkel, 120x45x30mm, Nut 8;Material: Zinkdruckguss schwarz pulverb.;010221; 6,86 € ;;;1.0;;
282146204;0.0.265.44;Bodenwinkel, 160x60x40mm, Nut 8;Material: Zinkdruckguss blank;010221; 8,12 € ;;;1.0;;
0.0.265.44;282146204;Bodenwinkel, 160x60x40mm, Nut 8;siehe Artikelnummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
282146205;0.0.265.44;Bodenwinkel o Höhenverstellung 160 Nut8;Material: Zinkdruckguss schwarz pulverb.;010221; 8,73 € ;;;1.0;;
0.0.265.44;282146205;Bodenwinkel o Höhenverstellung 160 Nut8;siehe Artikelnummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
282200106;282200106;Nutenstein einschwenkbar mit Federkugel;Nut 8, M3, 22,0 x 13,7 x 7,0 mm;010221; 2,25 € ;;;1.0;;
282200107;0.0.428.54;Nutenstein einschwenkbar mit Federkugel;Nut 8, M4, 22,0 x 13,7 x 7,0 mm;010221; 1,68 € ;;;1.0;;
282200108;0.0.428.55;Nutenstein einschwenkbar mit Federkugel;Nut 8, M5, 22,0 x 13,7 x 7,0 mm;010221; 1,68 € ;;;1.0;;
282200109;0.0.388.51;Nutenstein einschwenkbar mit Federkugel;Nut 8, M6, 22,0 x 13,7 x 7,0 mm;010221; 1,68 € ;;;1.0;;
282200110;0.0.388.49;Nutenstein einschwenkbar mit Federkugel;Nut 8, M8, 22,0 x 13,7 x 7,0 mm;010221; 1,68 € ;;;1.0;;
282200111;282200111;Nutenstein einschwenkbar mit Federkugel;Nut 8, M3, 22,0 x 13,7 x 7,0 mm;010221; 0,24 € ;;;1.0;;
282200112;0.0.420.06;Nutenstein einschwenkbar mit Federkugel;Nut 8, M4, 22,0 x 13,7 x 7,0 mm;010221; 0,24 € ;;;1.0;;
282200113;0.0.420.05;Nutenstein einschwenkbar mit Federkugel;Nut 8, M5, 22,0 x 13,7 x 7,0 mm;010221; 0,24 € ;;;1.0;;
282200114;0.0.026.23;Nutenstein einschwenkbar mit Federkugel;Nut 8, M6, 22,0 x 13,7 x 7,0 mm;010221; 0,24 € ;;;1.0;;
282200115;0.0.026.18;Nutenstein einschwenkbar mit Federkugel;Nut 8, M8, 22,0 x 13,7 x 7,0 mm;010221; 0,24 € ;;;1.0;;
282200116;282200116;Nutenstein einschwenkbar mit Federkugel;"Nut8; M5, 22,0 x 13,5 x 7,2 mm";010221; 1,68 € ;;;1.0;;
282200117;282200117;Nutenstein einschwenkbar mit Federkugel;"Nut8; M6, 22,0 x 13,5 x 7,2 mm";010221; 1,68 € ;;;1.0;;
282200118;282200118;Nutenstein einschwenkbar mit Federkugel;"Nut8; M8, 22,0 x 13,5 x 7,2 mm";010221; 1,68 € ;;;1.0;;
282200119;282200119;Nutenstein einschwenkbar mit Federkugel;"Nut8; M8, 22,0 x 13,5 x 7,2 mm, ESD";010221; 0,47 € ;;;1.0;;
282200120;282200120;Nutenstein einschwenkbar mit Federkugel;"Nut8; M5, 22,0 x 13,5 x 7,2 mm, ESD";010221; 0,47 € ;;;1.0;;
282200121;282200121;Nutenstein einschwenkbar mit Federkugel,;"Nut8; M4, 22,0 x 13,5 x 7,2 mm, ESD";010221; 0,47 € ;;;1.0;;
282200122;282200122;Nutenstein einschwenkbar mit Federkugel;"Nut8; M6, 22,0 x 13,5 x 7,2 mm, ESD";010221; 0,47 € ;;;1.0;;
282200123;282200123;Nutenstein einschwenkbar mit Federkugel;"Nut8; M3, 22,0 x 13,5 x 7,2 mm";010221; 1,12 € ;;;1.0;;
282200124;0.0.480.57;Nutenstein einschwenkbar mit Federkugel;"Nut8; M4, 22,0 x 13,5 x 7,2 mm";010221; 0,24 € ;;;1.0;;
282200125;0.0.480.54;Nutenstein einschwenkbar mit Federkugel;"Nut8; M5, 22,0 x 13,5 x 7,2 mm";010221; 0,24 € ;;;1.0;;
282200126;0.0.480.50;Nutenstein einschwenkbar mit Federkugel;"Nut8; M6, 22,0 x 13,5 x 7,2 mm";010221; 0,24 € ;;;1.0;;
282200126;0.0.486.23;Nutenstein einschwenkbar mit Federkugel;"Nut8; M6, 22,0 x 13,5 x 7,2 mm";010221; 0,24 € ;;;1.0;;
282200127;0.0.480.48;Nutenstein einschwenkbar mit Federkugel;"Nut8; M8, 22,0 x 13,5 x 7,2 mm";010221; 0,24 € ;;;1.0;;
282200130;282200130;Nutensteinprofil 13,5x7,2 mm einschwenkb;"Nut8; Torsionsfrei; Stahl blank C45/A3";010221; 20,56 € ;;;1.0;;
282200140;0.0.026.70;Nutensteinprofil 13,7 x 7,0mm einschwenk;L=1500mm;010221; 17,34 € ;;;1.0;;
282200141;0.0.427.23;Nutenstein schwer mit Federkugel Nut 8;1500 x 18,0 x 6,8 mm, ;010221; 19,50 € ;;;1.0;;
282200148;0.0.406.77;Doppelnutenstein einschwenkbar, Nut8;"36,0 x 13,7 x 7,0 mm; 2x M6";010221; 1,68 € ;;;1.0;;
282200148;0.0.644.51;Doppelnutenstein einschwenkbar, Nut8;"36,0 x 13,7 x 7,0 mm; 2x M6";010221; 1,68 € ;;;1.0;;
282200149;0.0.644.14;Doppelnutenstein einschwenkbar, Nut8;"76,0 x 13,7 x 7,0 mm; 2x M6";010221; 1,83 € ;;;1.0;;
282200150;0.0.404.21;Doppelnutenstein einschwenkbar, Nut8;"36,0 x 13,7 x 7,0 mm; 2x M8";010221; 1,68 € ;;;1.0;;
282200150;0.0.610.80;Doppelnutenstein einschwenkbar, Nut8;"36,0 x 13,7 x 7,0 mm; 2x M8";010221; 1,68 € ;;;1.0;;
282200151;0.0.611.08;Doppelnutenstein einschwenkbar, Nut8;"76,0 x 13,7 x 7,0 mm; 2x M8";010221; 1,83 € ;;;1.0;;
282200152;0.0.373.59;Rhombusmutter Nut 8 M3;Material: Zinkdruckguss blank;010221; 0,44 € ;;;1.0;;
282200153;0.0.373.58;Rhombusmutter Nut 8 M4 ;Material: Zinkdruckguss blank;010221; 0,44 € ;;;1.0;;
282200154;0.0.373.44;Rhombusmutter Nut 8 M5;Material: Zinkdruckguss blank;010221; 0,44 € ;;;1.0;;
282200155;282200155;Rhombusmutter Nut 8 M6;Material: Zinkdruckguss blank;010221; 0,44 € ;;;1.0;;
282200160;0.0.613.20;"Nutenstein 13,5x7,2 mm; Nut8; Führungss";"M5, l=28mm; Federkugel mit Gewindestift";010221; 2,60 € ;;;1.0;;
282200161;0.0.613.19;"Nutenstein 13,5x7,2 mm; Nut8; Führungss";"M6, l=28mm; Federkugel mit Gewindestift";010221; 2,60 € ;;;1.0;;
282200162;0.0.613.18;"Nutenstein 13,5x7,2 mm; Nut8; Führungss";"M8, l=28mm; Federkugel mit Gewindestift";010221; 2,60 € ;;;1.0;;
282200205;282200205;Fixierstück für Endschalterhatler, Nut;Material: Kunststoff PA glasfaserverst.;010221; 11,24 € ;;;100.0;;
282200300;282200300;Nutenstein schwer mit Federkugel Nut 8;M5, 23,0 x 18,0 x 6,8 mm;010221; 1,05 € ;;;1.0;;
282200301;0.0.427.75;Nutenstein schwer mit Federkugel Nut 8;M6, 23,0 x 18,0 x 6,8 mm;010221; 1,05 € ;;;1.0;;
282200302;0.0.420.83;Nutenstein schwer mit Federkugel Nut 8;M8, 23,0 x 18,0 x 6,8 mm;010221; 1,05 € ;;;1.0;;
282200500;0.0.626.06;Hammermutter Nut 8, M6;Material: stahl verzinkt;010221; 28,60 € ;;;100.0;;
282200501;282200501;Hammermutter M5, Nut 8;Material: Stahl verzinkt;010221; 28,60 € ;;;100.0;;
282200502;282200502;Hammermutter M4, Nut 8;Material: Stahl verzinkt;010221; 0,29 € ;;;1.0;;
282300103;0.0.411.24;Winkel 40x40 Nut 8;Material: Zinkdruckguss blank;010221; 2,28 € ;;;1.0;;
0.0.411.24;282300103;Winkel 40x40 Nut 8;siehe Artikelnummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
282300105;282300105;Winkel 80x80 Nut 8;Material: Zinkdruckguss blank;010221; 7,49 € ;;;1.0;;
282300107;0.0.436.23;"Winkel 160x80 Nut8  Zinkdruckguss; ";weißaluminium RAL9005;010221; 15,59 € ;;;1.0;;
282300108;0.0.411.23;Winkel 40x80 Nut 8;Material: Zinkdruckguss blank;010221; 3,95 € ;;;1.0;;
0.0.411.23;282300108;Winkel 40x80 Nut 8;siehe Artikelnummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
282300111;0.0.411.15;Winkel 40x40 Nut 8, Inkl. Befestigung ;und Abdeckkappe ;010221; 4,06 € ;;;1.0;;
282300112;0.0.411.32;Winkel 40x80 Nut 8, Inkl. Befestigung ;und Abdeckkappe ;010221; 6,24 € ;;;1.0;;
282300113;282300113;Winkel 80x80 Nut 8, Inkl. Befestigung ;und Abdeckkappe;010221; 11,73 € ;;;1.0;;
282300114;282300114;Winkel 80x80 Nut 8, Inkl. Befestigung ;und Abdeckkappe verkehrsgrau RAL7042;010221; 12,54 € ;;;1.0;;
282300115;0.0.436.24;Winkel 160x80 Nut 8, Inkl. Befestigung ;und Abdeckkappe;010221; 19,55 € ;;;1.0;;
282300116;0.0.475.21;Winkel 160x160 Nut 8,;Winkel: Grauguss (GGG) Weißaluminium;010221; 63,28 € ;;;1.0;;
282300202;282300202;Winkel 40x40 Nut 8, silber pulverb. ;inkl. Befestigung und Abdeckkappe ;010221; 4,60 € ;;;1.0;;
282300203;282300203;Winkel 40x80 Nut 8, silber pulverb.;inkl. Befestigung und Abdeckkappe ;010221; 7,97 € ;;;1.0;;
282300204;282300204;Winkel 80x80 Nut 8 silber pulverbschicht;inkl. Befestigung und Abdeckkappe;010221; 14,69 € ;;;1.0;;
282300252;0.0.411.24;Winkel 40x40, Nut 8, silber pulverbesch.;Material: Zinkdruckguss;010221; 2,92 € ;;;1.0;;
0.0.411.24;282300252;Winkel 40x40, Nut 8, silber pulverbesch.;siehe Artikelnummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
282300253;0.0.411.23;Winkel 40x80 Nut 8 silber pulverbesch.;Material: Zinkdruckguss;010221; 6,29 € ;;;1.0;;
0.0.411.23;282300253;Winkel 40x80 Nut 8 silber pulverbesch.;siehe Artikelnummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
282300254;0.0.601.62;"Winkel 40x40 Nut 8; Silber pulverbeschic";Material: Zinkdruckguss;010221; 4,98 € ;;;1.0;;
282300255;0.0.601.61;"Winkel 40x80 Nut 8; Silber pulverbeschic";Material: Zinkdruckguss;010221; 8,48 € ;;;1.0;;
282300256;282300256;"Winkel 80x80 Nut 8; Silber pulverbeschic";Material: Zinkdruckguss;010221; 14,58 € ;;;1.0;;
282300312;282300312;Nutenstein schwer mit Federkugel Nut 8;M8, 22,0 x 17,0 x 9,6 mm mit Führungsst;010221; 0,41 € ;;;1.0;;
282300400;0.0.486.28;Verbindungswinkel V40 Set;Zinkdruckguss alufarbig lackiert;010221; 5,23 € ;;;1.0;;
282300500;282300500;Hammerschraube M6x20 Nut 8, Steg 3,0 mm;Material: stahl verzinkt;010221; 0,39 € ;;;1.0;;
282300501;282300501;Hammerschraube M6x25 Nut 8, Steg 3,0 mm;Material: stahl verzinkt;010221; 0,41 € ;;;1.0;;
282300502;282300502;Hammerschraube M8x25 Nut 8, Steg 3,0 mm;Material: stahl verzinkt;010221; 0,39 € ;;;1.0;;
282300503;282300503;Hammerschraube M8x30 Nut 8, Steg 3,0 mm;Material: stahl verzinkt;010221; 0,49 € ;;;1.0;;
282300504;282300504;Hammerschraube M8x40 Nut 8, Steg 3,0 mm;Material: stahl verzinkt;010221; 0,39 € ;;;1.0;;
282300505;282300505;Hammerschraube M8x20 Nut 8, Steg 3,0 mm;Material: stahl verzinkt;010221; 0,41 € ;;;1.0;;
282305102;0.0.265.46;Set Uni-Stoßverbinder Nut 8;Material: Zinkdruckguss verzinkt;010221; 4,50 € ;;;1.0;;
0.0.436.24;282300115;Winkel 160x80 Nut 8, Inkl. Befestigung ;siehe Artikelnummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;1.0;;
282305120;0.0.364.45;Pneumatik-Universal-Verbindungssatz;Nut 8, Material: Zinkdruckguss verzinkt;010221; 3,02 € ;;;1.0;;
282305121;0.0.364.46;Pneumatik-Universal-Stoß-Verbindungssat;Nut 8, Material: Zinkdruckguss verzinkt;010221; 5,09 € ;;;1.0;;
282310003;0.0.026.92;Set Univerbinder Nut 8 mit Führungsnase;Material: Zinkdruckguss verzinkt;010221; 1,46 € ;;;1.0;;
282310003;0.0.488.60;Set Univerbinder Nut 8 mit Führungsnase;Material: Zinkdruckguss verzinkt;010221; 1,46 € ;;;1.0;;
282310008;0.0.373.52;Abdeckkappe für Eckwinkel 40 - 45°;Material: PA schwarz;010221; 0,97 € ;;;1.0;;
282310009;0.0.436.32;Abdeckkappe rund für Eckwinkel 40x40;Kunststoff PA, schwarz;010221; 0,97 € ;;;1.0;;
282310010;0.0.415.97;Abdeckkappe eckig für Eckwinkel 40x40;Kunststoff PA, schwarz;010221; 0,97 € ;;;1.0;;
282310011;0.0.641.46;Abdeckkappe eckig für Eckwinkel 40x40;Material: PA, RAL7042 verkehrsgrau;010221; 0,97 € ;;;1.0;;
282310012;0.0.640.33;Eckwinkel 40 Nut8,ESD, inkl. 3 Schrauben;ISO7380 M8x20;010221; 3,13 € ;;;1.0;;
0.0.640.33;282310012;Eckwinkel 40 Nut8,ESD, inkl. 3 Schrauben;siehe Artikelnummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
282310013;0.0.416.08;Eckwinkel 40 Nut8,ESD, inkl. 3 Schrauben;ISO7380 M8x20 und ABDK Eckform-schwarz;010221; 3,90 € ;;;1.0;;
282310013;0.0.483.06;Eckwinkel 40 Nut8,ESD, inkl. 3 Schrauben;ISO7380 M8x20 und ABDK Eckform-schwarz;010221; 3,90 € ;;;1.0;;
282310014;0.0.436.35;Eckwinkel 40 Nut8,ESD, inkl. 3 Schrauben;ISO7380 M8x20 und ABDK Rundform-schwarz;010221; 3,90 € ;;;1.0;;
282310015;0.0.388.68;Eckwinkel 40 Nut8,ESD, inkl. 3 Schrauben;ISO7380 M8x20 und ABDK 45° - schwarz;010221; 3,90 € ;;;1.0;;
282310016;0.0.640.32;Eckwinkel 40 Nut8,ESD, inkl. 3 Schrauben;ISO7380 M8x20 und ABDK Eckform;010221; 3,90 € ;;;1.0;;
282310017;0.0.640.33;Eckwinkel 40 Nut8,ESD, inkl. 3 Schrauben;ISO7380 M8x20 und ABDK Rundform ;010221; 3,90 € ;;;1.0;;
0.0.640.33;282310017;Eckwinkel 40 Nut8,ESD, inkl. 3 Schrauben;siehe Artikelnummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
282310018;0.0.640.34;Eckwinkel 40 Nut8,ESD, inkl. 3 Schrauben;ISO7380 M8x20 und ABDK 45°;010221; 3,90 € ;;;1.0;;
282310019;0.0.627.60;Abdeckkappe 45° für Eckwinkel 40x40;Material: PA, RAL7042 verkehrsgrau;010221; 0,97 € ;;;1.0;;
282311003;282311003;Schraubverbinder Nut8;Material: stahl verzinkt;010221; 0,54 € ;;;1.0;;
282311004;0.0.026.07;Schraubverbinder Nut8, inkl. Linsenkopf-;"schraube M8x20; Material: stahl verzinkt";010221; 0,70 € ;;;1.0;;
282311004;0.0.364.09;Schraubverbinder Nut8, inkl. Linsenkopf-;"schraube M8x20; Material: stahl verzinkt";010221; 0,70 € ;;;1.0;;
282311004;0.0.610.11;Schraubverbinder Nut8, inkl. Linsenkopf-;"schraube M8x20; Material: stahl verzinkt";010221; 0,70 € ;;;1.0;;
282311007;0.0.388.79;Schraubverbinder Nut8, inkl. Schraube;"ISO 7380 M8x20; Material: Edelstahl";010221; 1,41 € ;;;1.0;;
282311100;282311100;"Blindstopfen; Material: PVC, schwarz";für Bearbeitung D7 Nut6;010221; 12,56 € ;;;100.0;;
282311200;0.0.265.37;Verstiftungsnutenstein M6, mit Gewindest;und Zylinderstift;010221; 3,65 € ;;;1.0;;
282311500;282311500;Fräsverbinder Set Profil 40 Nut8;Material: Stahl verzinkt;010221; 3,16 € ;;;1.0;;
282311502;0.0.457.77;"Klemmwinkel 40; Nut 8";Material: Zinkdruckguss aluf. lackiert;010221; 4,59 € ;;;1.0;;
